35.681382,139.76608399999998,Tokyo
35.675069,139.763328,Yurakucho
35.665498,139.75964,Shinbashi
35.655646,139.756749,Hamamatucho
35.645736,139.74757499999998,Tamachi
35.630152,139.74044000000004,Shinagawa
35.6197,139.72855300000003,Osaki
35.626446,139.72344399999997,Gotanda
35.633998,139.715828,Meguro
35.64669,139.710106,Ebisu
35.658517, 139.70133399999997,Shibuya
35.670168	,139.70268699999997,Harajuku
35.683061,139.702042,Yoyogi
35.690921,139.70025799999996,Shinjuku
35.701306,139.70004399999993,ShinOkubo
35.712285,	139.70378200000005,Takadanobaba
35.721204	,139.706587,Mejiro
35.728926	,139.71038,Ikebukuro
35.731401	,139.72866199999999,Otuka
35.733492,139.73934499999996,Sugamo
35.736489,	139.74687500000005,Komagome
35.738062	,139.76085999999998,Tabata
35.732135,	139.76678700000002,Nishi Nippori
35.727772	,139.770987,Nippori
35.720495	,139.77883700000007,Uguisudani
35.713768,	139.77725399999997,Ueno
35.707438	,139.774632,Okachimachi
35.698683	,139.77421900000002,Akihabara
35.69169	,139.77088300000003,Kanda
